dbh	pine01	pine08	pine15	spruce08	spruce15	hardwood08	hardwood15
1.5	0	0	0	85.52631579	134.2105263	303.9473684	327.6315789
2.5	1.3	2.6	3.947368421	178.9473684	205.2631579	310.5263158	418.4210526
3.5	7.9	1.3	1.315789474	127.6315789	173.6842105	207.8947368	223.6842105
4.5	13.2	7.9	1.315789474	85.52631579	127.6315789	106.5789474	156.5789474
5.5	32.9	7.9	3.947368421	64.47368421	78.94736842	43.42105263	73.68421053
6.5	13.2	18.4	7.894736842	34.21052632	57.89473684	53.94736842	47.36842105
7.5	27.6	7.9	7.894736842	28.94736842	50	46.05263158	38.15789474
8.5	27.6	17.1	11.84210526	21.05263158	25	22.36842105	28.94736842
9.5	23.7	18.4	13.15789474	14.47368421	22.36842105	18.42105263	22.36842105
10.5	36.8	15.8	10.52631579	11.84210526	17.10526316	15.78947368	7.894736842
11.5	36.8	32.9	15.78947368	9.210526316	14.47368421	15.78947368	11.84210526
12.5	63.2	23.7	27.63157895	5.263157895	11.84210526	13.15789474	11.84210526
13.5	52.6	51.3	23.68421053	13.15789474	7.894736842	10.52631579	15.78947368
14.5	63.2	42.1	40.78947368	6.578947368	7.894736842	11.84210526	2.631578947
15.5	68.4	44.7	35.52631579	7.894736842	7.894736842	3.947368421	9.210526316
16.5	71.1	52.6	36.84210526	9.210526316	5.263157895	3.947368421	5.263157895
17.5	71.1	63.2	47.36842105	7.894736842	9.210526316	6.578947368	3.947368421
18.5	57.9	61.8	43.42105263	5.263157895	5.263157895	1.315789474	1.315789474
19.5	56.6	56.6	72.36842105	2.631578947	10.52631579	3.947368421	3.947368421
20.5	43.4	55.3	40.78947368	3.947368421	7.894736842	1.315789474	3.947368421
21.5	30.3	53.9	57.89473684	2.631578947	3.947368421	1.315789474	2.631578947
22.5	21.1	34.2	56.57894737	1.315789474	3.947368421	1.315789474	0
23.5	11.8	30.3	43.42105263	2.631578947	1.315789474	0	0
24.5	6.6	18.4	34.21052632	1.315789474	3.947368421	0	1.315789474
25.5	7.9	13.2	22.36842105	0	3.947368421	1.315789474	0
26.5	2.6	7.9	19.73684211	3.947368421	2.631578947	0	0
27.5	1.3	7.9	18.42105263	1.315789474	1.315789474	0	0
28.5	1.3	0.0	9.210526316	1.315789474	0	0	0
29.5	1.3	3.9	2.631578947	0	2.631578947	0	0
30.5	1.3	1.3	2.631578947	1.315789474	2.631578947	0	0
31.5	0.0	1.3	3.947368421	1.315789474	1.315789474	0	0
32.5	0.0	1.3	1.315789474	0	0	0	0
33.5	0.0	0.0	1.315789474	0	0	0	0
34.5	0.0	0.0	0	0	0	1.315789474	0
35.5	0.0	0.0	1.315789474	0	0	0	0
36.5	0.0	0.0	0.0	1.315789474	0	0	0
37.5	0.0	0.0	0.0	1.315789474	0	0	1.315789474
38.5	0.0	0.0	0.0	0	0	0	0
39.5	0.0	0.0	0.0	0	0	0	0
40.5	0.0	0.0	0.0	1.315789474	1.315789474	0	0
41.5	0.0	0.0	0.0	0.0	0	0	0
42.5	0.0	0.0	0.0	0.0	2.631578947	0	0
