Sampling;precip_open_area_mm;Interc_wav;Interc_stdev
3.7.2016 11:00;17.43;4.722666;2.639453
9.7.2016 11:00;7.54;4.672884;1.235168
9.7.2016 21:00;7.8;3.395535;1.226973
11.7.2016 12:00;1.05;0.306085;0.316734
14.7.2016 12:00;6.01;2.952874;0.996274
15.7.2016 9:00;13.92;1.544946;3.887888
16.7.2016 16:00;12.11;3.64004;2.770508
27.7.2016 8:00;17.08;4.229173;3.029085
29.7.2016 15:30;2.24;1.758965;0.327554
1.8.2016 12:30;7.88;3.01456;1.362955
8.8.2016 10:30;13.05;5.673678;2.451557
10.8.2016 8:30;28.04;4.278713;4.752457
11.8.2016 0:00;13.53;2.579349;3.367289
13.8.2016 19:00;13.58;2.40495;4.081764
20.8.2016 15:30;2.86;2.095733;0.530326
22.8.2016 14:00;7.1;2.260933;2.351173
23.8.2016 14:00;5.29;0.204639;1.626025
26.8.2016 12:00;3.54;2.157928;0.523589
27.8.2016 16:00;11.54;2.51372;2.621006
29.8.2016 15:30;0.59;0.484287;0.09596
2.9.2016 8:00;5.93;3.122709;1.498653
5.9.2016 11:00;0.3;0.187135;0.077411
7.9.2016 9:00;1.5;1.179338;0.279617
12.9.2016 11:30;1.88;1.532494;0.208983
23.9.2016 13:00;1.5;1.170789;0.344923
30.9.2016 9:00;23.92;4.551055;4.798165
