yyyy,mo,dd,hh,mm,period,start_date,ICOS_precip,I_av_mm,I_CI_min_mm,I_CI_max_mm,I_SE_min_mm,I_SE_max_mm
2016,7,1,0,0,1,1.7.2016 0:00,1.11,0.2886,0.2886,0.2886,0.2886,0.2886
2016,7,1,0,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,1,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,1,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,2,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,2,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,3,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,3,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,4,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,4,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,5,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,5,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,6,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,6,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,7,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,7,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,8,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,8,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,9,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,9,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,10,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,10,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,11,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,11,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,12,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,12,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,13,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,13,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,14,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,14,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,15,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,15,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,16,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,16,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,17,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,17,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,18,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,18,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,19,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,19,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,20,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,20,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,21,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,21,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,22,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,22,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,23,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,1,23,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,0,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,0,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,1,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,1,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,2,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,2,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,3,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,3,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,4,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,4,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,5,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,5,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,6,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,6,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,7,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,7,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,8,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,8,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,9,0,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,9,30,1,1.7.2016 0:00,0,0,0,0,0,0
2016,7,2,10,0,2,2.7.2016 10:00,14.98,5.382990166,1.786067135,8.330074738,3.640519923,6.957933525
2016,7,2,10,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,11,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,11,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,12,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,12,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,13,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,13,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,14,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,14,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,15,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,15,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,16,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,16,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,17,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,17,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,18,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,18,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,19,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,19,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,20,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,20,30,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,21,0,2,2.7.2016 10:00,0,0,0,0,0,0
2016,7,2,21,30,3,2.7.2016 21:30,2.49,0.6474,0.6474,0.6474,0.6474,0.6474
2016,7,2,22,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,2,22,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,2,23,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,2,23,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,0,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,0,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,1,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,1,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,2,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,2,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,3,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,3,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,4,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,4,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,5,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,5,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,6,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,6,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,7,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,7,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,8,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,8,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,9,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,9,30,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,10,0,3,2.7.2016 21:30,0,0,0,0,0,0
2016,7,3,10,30,4,3.7.2016 10:30,2.06,0.5356,0.5356,0.5356,0.5356,0.5356
2016,7,3,11,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,11,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,12,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,12,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,13,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,13,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,14,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,14,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,15,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,15,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,16,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,16,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,17,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,17,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,18,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,18,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,19,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,19,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,20,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,20,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,21,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,21,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,22,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,22,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,23,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,3,23,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,0,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,0,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,1,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,1,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,2,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,2,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,3,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,3,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,4,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,4,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,5,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,5,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,6,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,6,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,7,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,7,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,8,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,8,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,9,0,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,9,30,4,3.7.2016 10:30,0,0,0,0,0,0
2016,7,4,10,0,4,3.7.2016 10:30,0,0,0,0,0,0
