yyyy,mo,dd,hh,mm,WT_E,WT_N,WT_W,WT_S
2010,4,30,17,0,-0.198320702,-999,-0.210040595,-0.134227497
2010,4,30,18,0,-0.197569332,-999,-0.211856214,-0.135790235
2010,4,30,19,0,-0.197055003,-999,-0.21214773,-0.135750787
2010,4,30,20,0,-0.196256247,-999,-0.211581952,-0.135051631
2010,4,30,21,0,-0.195220474,-999,-0.211206689,-0.134352484
2010,4,30,22,0,-0.194421742,-999,-0.210736177,-0.133747591
2010,4,30,23,0,-0.19390745,-999,-0.210218045,-0.133048465
2010,5,1,0,0,-0.193440571,-999,-0.209604668,-0.132211677
2010,5,1,1,0,-0.192926293,-999,-0.209134176,-0.131744484
2010,5,1,2,0,-0.192696446,-999,-0.208901817,-0.131375229
2010,5,1,3,0,-0.192229585,-999,-0.20838371,-0.130676141
2010,5,1,4,0,-0.19176273,-999,-0.20767511,-0.129694347
2010,5,1,5,0,-0.191295882,-999,-0.207109394,-0.128806806
2010,5,1,6,0,-0.191066053,-999,-0.206877053,-0.128249109
2010,5,1,7,0,-0.191073239,-999,-0.206644716,-0.127879893
2010,5,1,8,0,-0.19070121,-999,-0.206364758,-0.127086621
2010,5,1,9,0,-0.190044776,-999,-0.206084804,-0.125351008
2010,5,1,10,0,-0.189340951,-999,-0.205614362,-0.123898125
2010,5,1,11,0,-0.189205946,-999,-0.205286793,-0.122822198
2010,5,1,12,0,-0.188976143,-999,-0.205102096,-0.122217453
2010,5,1,13,0,-0.188746342,-999,-0.204917402,-0.121659833
2010,5,1,14,0,-0.188848344,-999,-0.204780331,-0.121337801
2010,5,1,15,0,-0.18833415,-999,-0.20488137,-0.120780196
2010,5,1,16,0,-0.188436154,-999,-0.204791923,-0.120363945
2010,5,1,17,0,-0.188206364,-999,-0.204511993,-0.120324619
2010,5,1,18,0,-0.188166172,-999,-0.204374929,-0.120049721
2010,5,1,19,0,-0.18784159,-999,-0.204285487,-0.119869056
2010,5,1,20,0,-0.187896197,-999,-0.204291286,-0.119735507
2010,5,1,21,0,-0.188566971,-999,-0.204154227,-0.11946062
2010,5,1,22,0,-0.189332531,-999,-0.204350504,-0.119327076
2010,5,1,23,0,-0.190192874,-999,-0.204546779,-0.119240647
2010,5,2,0,0,-0.191479773,-999,-0.205028765,-0.119579635
2010,5,2,1,0,-0.191866127,-999,-0.205415507,-0.120763829
2010,5,2,2,0,-0.192299871,-999,-0.205707009,-0.12171385
2010,5,2,3,0,-0.192733609,-999,-0.206188978,-0.122663857
2010,5,2,4,0,-0.193262131,-999,-0.206480471,-0.123708073
2010,5,2,5,0,-0.193601067,-999,-0.206724343,-0.124469609
2010,5,2,6,0,-0.189390119,-999,-0.205634937,-0.121792078
2010,5,2,7,0,-0.188022884,-999,-0.203212277,-0.117983946
2010,5,2,8,0,-0.187840517,-999,-0.202503838,-0.115824708
2010,5,2,9,0,-0.187847726,-999,-0.20212872,-0.114701907
2010,5,2,10,0,-0.187854936,-999,-0.202086918,-0.114238649
2010,5,2,11,0,-0.187862145,-999,-0.20190227,-0.114105157
2010,5,2,12,0,-0.187916747,-999,-0.201812854,-0.114112993
2010,5,2,13,0,-0.188255702,-999,-0.20181867,-0.114073721
2010,5,2,14,0,-0.189589883,-999,-0.201919714,-0.114081557
2010,5,2,15,0,-0.191303178,-999,-0.202639743,-0.114701787
2010,5,2,16,0,-0.192969057,-999,-0.203740675,-0.116311254
2010,5,2,17,0,-0.194397959,-999,-0.204841592,-0.117779377
2010,5,2,18,0,-0.195921622,-999,-0.205990109,-0.119247479
2010,5,2,19,0,-0.197303093,-999,-0.206995773,-0.120715559
2010,5,2,20,0,-0.198115866,-999,-0.207953811,-0.122136513
2010,5,2,21,0,-0.199402523,-999,-0.209007062,-0.123887182
2010,5,2,22,0,-0.201115666,-999,-0.210298361,-0.125826245
2010,5,2,23,0,-0.20263923,-999,-0.211446808,-0.12767107
2010,5,3,0,0,-0.204257549,-999,-0.212404794,-0.129142055
2010,5,3,1,0,-0.205401963,-999,-0.21345799,-0.130795395
2010,5,3,2,0,-0.206546361,-999,-0.214463562,-0.132404626
2010,5,3,3,0,-0.207738131,-999,-0.215564343,-0.134013835
2010,5,3,4,0,-0.208692947,-999,-0.21656989,-0.135434608
2010,5,3,5,0,-0.209837299,-999,-0.217575424,-0.137043771
2010,5,3,6,0,-0.210792088,-999,-0.218628555,-0.138841318
2010,5,3,7,0,-0.211983795,-999,-0.219729282,-0.140450432
2010,5,3,8,0,-0.212985941,-999,-0.221020432,-0.14196532
2010,5,3,9,0,-0.214130231,-999,-0.222025912,-0.143433085
2010,5,3,10,0,-0.21522712,-999,-0.223078988,-0.144665325
2010,5,3,11,0,-0.217034767,-999,-0.224370093,-0.146180149
2010,5,3,12,0,-0.219031928,-999,-0.225565965,-0.147365251
2010,5,3,13,0,-0.220176144,-999,-0.226333353,-0.148314838
2010,5,3,14,0,-0.220609584,-999,-0.226815088,-0.149028914
2010,5,3,15,0,-0.221137786,-999,-0.227534852,-0.149978475
2010,5,3,16,0,-0.22209243,-999,-0.228302214,-0.150928021
2010,5,3,17,0,-0.222810146,-999,-0.229164778,-0.152065947
2010,5,3,18,0,-0.223480469,-999,-0.229979726,-0.153203857
2010,5,3,19,0,-0.224814135,-999,-0.230556635,-0.154012067
2010,5,3,20,0,-0.225389671,-999,-0.230943114,-0.154678973
2010,5,3,21,0,-0.226439016,-999,-0.231329588,-0.155204579
2010,5,3,22,0,-0.227488346,-999,-0.231525638,-0.155777274
2010,5,3,23,0,-0.227874328,-999,-0.23176929,-0.15611448
2010,5,4,0,0,-0.228307685,-999,-0.231870126,-0.156271023
2010,5,4,1,0,-0.228504135,-999,-0.231780544,-0.156788877
2010,5,4,2,0,-0.228747961,-999,-0.231738568,-0.157078973
2010,5,4,3,0,-0.229039165,-999,-0.231601385,-0.157510349
2010,5,4,4,0,-0.229093467,-999,-0.231607013,-0.157894625
2010,5,4,5,0,-0.22957418,-999,-0.231803053,-0.158325989
2010,5,4,6,0,-0.2295811,-999,-0.231903886,-0.158757347
