yyyy,mo,dd,hh,mm,h_weir,Q,runf
2012,1,1,0,0,-999,-999,-999
2012,1,1,0,30,-999,-999,-999
2012,1,1,1,0,-999,-999,-999
2012,1,1,1,30,-999,-999,-999
2012,1,1,2,0,-999,-999,-999
2012,1,1,2,30,-999,-999,-999
2012,1,1,3,0,-999,-999,-999
2012,1,1,3,30,-999,-999,-999
2012,1,1,4,0,-999,-999,-999
2012,1,1,4,30,-999,-999,-999
2012,1,1,5,0,-999,-999,-999
2012,1,1,5,30,-999,-999,-999
2012,1,1,6,0,-999,-999,-999
2012,1,1,6,30,-999,-999,-999
2012,1,1,7,0,-999,-999,-999
2012,1,1,7,30,-999,-999,-999
2012,1,1,8,0,-999,-999,-999
2012,1,1,8,30,-999,-999,-999
2012,1,1,9,0,-999,-999,-999
2012,1,1,9,30,-999,-999,-999
2012,1,1,10,0,-999,-999,-999
2012,1,1,10,30,-999,-999,-999
2012,1,1,11,0,-999,-999,-999
2012,1,1,11,30,-999,-999,-999
2012,1,1,12,0,-999,-999,-999
2012,1,1,12,30,-999,-999,-999
2012,1,1,13,0,-999,-999,-999
2012,1,1,13,30,-999,-999,-999
2012,1,1,14,0,-999,-999,-999
2012,1,1,14,30,-999,-999,-999
2012,1,1,15,0,-999,-999,-999
2012,1,1,15,30,-999,-999,-999
2012,1,1,16,0,-999,-999,-999
2012,1,1,16,30,-999,-999,-999
2012,1,1,17,0,-999,-999,-999
2012,1,1,17,30,-999,-999,-999
2012,1,1,18,0,-999,-999,-999
2012,1,1,18,30,-999,-999,-999
2012,1,1,19,0,-999,-999,-999
2012,1,1,19,30,-999,-999,-999
2012,1,1,20,0,-999,-999,-999
2012,1,1,20,30,-999,-999,-999
2012,1,1,21,0,-999,-999,-999
2012,1,1,21,30,-999,-999,-999
2012,1,1,22,0,-999,-999,-999
2012,1,1,22,30,-999,-999,-999
2012,1,1,23,0,-999,-999,-999
2012,1,1,23,30,-999,-999,-999
2012,1,2,0,0,-999,-999,-999
2012,1,2,0,30,-999,-999,-999
2012,1,2,1,0,-999,-999,-999
2012,1,2,1,30,-999,-999,-999
2012,1,2,2,0,-999,-999,-999
2012,1,2,2,30,-999,-999,-999
2012,1,2,3,0,-999,-999,-999
2012,1,2,3,30,-999,-999,-999
2012,1,2,4,0,-999,-999,-999
2012,1,2,4,30,-999,-999,-999
2012,1,2,5,0,-999,-999,-999
2012,1,2,5,30,-999,-999,-999
2012,1,2,6,0,-999,-999,-999
2012,1,2,6,30,-999,-999,-999
2012,1,2,7,0,-999,-999,-999
2012,1,2,7,30,-999,-999,-999
2012,1,2,8,0,-999,-999,-999
2012,1,2,8,30,-999,-999,-999
2012,1,2,9,0,-999,-999,-999
2012,1,2,9,30,-999,-999,-999
2012,1,2,10,0,-999,-999,-999
2012,1,2,10,30,-999,-999,-999
2012,1,2,11,0,-999,-999,-999
2012,1,2,11,30,-999,-999,-999
2012,1,2,12,0,-999,-999,-999
2012,1,2,12,30,-999,-999,-999
2012,1,2,13,0,-999,-999,-999
2012,1,2,13,30,-999,-999,-999
2012,1,2,14,0,-999,-999,-999
2012,1,2,14,30,-999,-999,-999
2012,1,2,15,0,-999,-999,-999
2012,1,2,15,30,-999,-999,-999
2012,1,2,16,0,-999,-999,-999
2012,1,2,16,30,-999,-999,-999
2012,1,2,17,0,-999,-999,-999
2012,1,2,17,30,-999,-999,-999
2012,1,2,18,0,-999,-999,-999
2012,1,2,18,30,-999,-999,-999
2012,1,2,19,0,-999,-999,-999
2012,1,2,19,30,-999,-999,-999
2012,1,2,20,0,-999,-999,-999
2012,1,2,20,30,-999,-999,-999
2012,1,2,21,0,-999,-999,-999
2012,1,2,21,30,-999,-999,-999
2012,1,2,22,0,-999,-999,-999
2012,1,2,22,30,-999,-999,-999
2012,1,2,23,0,-999,-999,-999
2012,1,2,23,30,-999,-999,-999
2012,1,3,0,0,-999,-999,-999
2012,1,3,0,30,-999,-999,-999
2012,1,3,1,0,-999,-999,-999
2012,1,3,1,30,-999,-999,-999
2012,1,3,2,0,-999,-999,-999
2012,1,3,2,30,-999,-999,-999
2012,1,3,3,0,-999,-999,-999
2012,1,3,3,30,-999,-999,-999
2012,1,3,4,0,-999,-999,-999
2012,1,3,4,30,-999,-999,-999
2012,1,3,5,0,-999,-999,-999
2012,1,3,5,30,-999,-999,-999
2012,1,3,6,0,-999,-999,-999
2012,1,3,6,30,-999,-999,-999
2012,1,3,7,0,-999,-999,-999
2012,1,3,7,30,-999,-999,-999
2012,1,3,8,0,-999,-999,-999
2012,1,3,8,30,-999,-999,-999
2012,1,3,9,0,-999,-999,-999
2012,1,3,9,30,-999,-999,-999
2012,1,3,10,0,-999,-999,-999
2012,1,3,10,30,-999,-999,-999
2012,1,3,11,0,-999,-999,-999
2012,1,3,11,30,-999,-999,-999
2012,1,3,12,0,-999,-999,-999
2012,1,3,12,30,-999,-999,-999
2012,1,3,13,0,-999,-999,-999
2012,1,3,13,30,-999,-999,-999
2012,1,3,14,0,-999,-999,-999
2012,1,3,14,30,-999,-999,-999
2012,1,3,15,0,-999,-999,-999
2012,1,3,15,30,-999,-999,-999
2012,1,3,16,0,-999,-999,-999
2012,1,3,16,30,-999,-999,-999
2012,1,3,17,0,-999,-999,-999
2012,1,3,17,30,-999,-999,-999
2012,1,3,18,0,-999,-999,-999
2012,1,3,18,30,-999,-999,-999
