yyyy,mo,dd,hh,mm,Date,Prec,ET,Tr,I,TF,E
2016,7,1,0,0,1.7.2016,1.01,1.952250246,0.874893045,0.5555,0.4545,1.077357201
2016,7,2,0,0,2.7.2016,15.08,1.256834139,0.297078062,4.58055635,10.49944365,0.959756077
2016,7,3,0,0,3.7.2016,2.49,3.524668336,0.975299717,1.3695,1.1205,2.549368619
2016,7,4,0,0,4.7.2016,0,2.994857517,1.285498952,0,0,1.709358566
2016,7,5,0,0,5.7.2016,0.05,2.425813063,1.014983422,0.0275,0.0225,1.410829641
2016,7,6,0,0,6.7.2016,0,1.975229292,0.953899113,0,0,1.021330179
2016,7,7,0,0,7.7.2016,2.01,2.180050563,0.837914767,1.1055,0.9045,1.342135796
2016,7,8,0,0,8.7.2016,5.53,1.081147384,0.131219732,2.125841152,3.404158848,0.949927652
2016,7,9,0,0,9.7.2016,4.03,2.633595863,0.759604351,1.346005119,2.683994881,1.873991512
2016,7,10,0,0,10.7.2016,0.58,3.238132859,1.123640718,0.319,0.261,2.114492141
2016,7,11,0,0,11.7.2016,0.11,3.026252115,1.427731851,0.0605,0.0495,1.598520264
2016,7,12,0,0,12.7.2016,0,2.228291621,1.292651085,0,0,0.935640536
2016,7,13,0,0,13.7.2016,1,2.832608502,1.151359049,0.55,0.45,1.681249453
2016,7,14,0,0,14.7.2016,12.64,1.718222256,0.849106756,4.389804935,8.250195065,0.8691155
2016,7,15,0,0,15.7.2016,3.71,2.127482442,0.735908131,1.166922112,2.543077888,1.391574311
2016,7,16,0,0,16.7.2016,7.22,3.380552522,1.047530721,2.883254112,4.336745888,2.333021801
2016,7,17,0,0,17.7.2016,0.19,2.708436635,1.171589185,0.1045,0.0855,1.536847451
2016,7,18,0,0,18.7.2016,0.24,3.329581556,1.540062861,0.132,0.108,1.789518696
2016,7,19,0,0,19.7.2016,0.05,3.49018223,1.688747842,0.0275,0.0225,1.801434388
2016,7,20,0,0,20.7.2016,0,3.194559153,1.779575038,0,0,1.414984115
2016,7,21,0,0,21.7.2016,0,2.955352793,1.743633989,0,0,1.211718804
2016,7,22,0,0,22.7.2016,0,2.673758841,1.716845419,0,0,0.956913423
2016,7,23,0,0,23.7.2016,0,2.938115339,1.919524483,0,0,1.018590857
2016,7,24,0,0,24.7.2016,0,3.093049502,1.975267812,0,0,1.11778169
2016,7,25,0,0,25.7.2016,0,2.537518884,1.744890424,0,0,0.79262846
2016,7,26,0,0,26.7.2016,0,2.477328954,1.448135218,0,0,1.029193736
2016,7,27,0,0,27.7.2016,14.96,3.993521126,1.263324244,4.578562623,10.38143738,2.730196881
2016,7,28,0,0,28.7.2016,0.11,2.695418606,1.392173044,0.0605,0.0495,1.303245563
2016,7,29,0,0,29.7.2016,2.45,2.000513373,0.572780792,1.3475,1.1025,1.427732581
