year;month;day;hour;minute;LWnet;LWnet_flag;SWnet;SWnet_flag;Rnet;Rnet_flag;SH;SH_flag;SH_gapfilled;SH_gapfilled_flag;LE;LE_flag;LE_gapfilled;LE_gapfilled_flag;NEE;NEE_flag;NEE_gapfilled;NEE_gapfilled_flag;GPP;GPP_flag;GPP_gapfilled;GPP_gapfilled_flag;Reco;Reco_flag
2019;1;1;0;0;NaN;1;NaN;1;NaN;1;NaN;1;NaN;1;NaN;1;NaN;1;NaN;1;NaN;1;NaN;1;NaN;1;NaN;1
2019;1;1;0;30;-59.449;0;0.0;0;-59.449;0;-85.103;0;-85.103;0;-8.3138;0;-8.3138;0;1.3641;0;1.3641;0;-0.68269;0;-0.68269;0;0.681383;0
2019;1;1;1;0;-47.701;0;0.0;0;-47.701;0;-93.421;0;-93.4214;0;-11.218;0;-11.218;0;1.2606;0;1.2606;0;-0.58076;0;-0.58076;0;0.679825;0
2019;1;1;1;30;-53.45;0;0.0;0;-53.45;0;-72.89399999999999;0;-72.8936;0;-10.149;0;-10.149;0;1.4523;0;1.4523;0;-0.78142;0;-0.78142;0;0.670844;0
2019;1;1;2;0;-76.378;0;0.0;0;-76.378;0;-83.678;0;-83.678;0;-9.0836;0;-9.0836;0;1.8045;0;1.8045;0;-1.1420000000000001;0;-1.1420000000000001;0;0.6625880000000001;0
2019;1;1;2;30;-44.957;0;0.0;0;-44.957;0;NaN;1;-63.077532999999995;0;NaN;1;-1.9775;0;NaN;1;0.67099;0;NaN;1;-0.001779;0;0.6692140000000001;0
2019;1;1;3;0;-20.974;0;0.0;0;-20.974;0;NaN;1;-64.34785500000001;0;NaN;1;-1.65;0;NaN;1;0.5877399999999999;0;NaN;1;0.11037000000000001;0;0.698108;0
2019;1;1;3;30;-40.141;0;0.0;0;-40.141;0;-61.218;0;-61.218;0;-5.6304;0;-5.6304;0;0.82629;0;0.82629;0;-0.13163;0;-0.13163;0;0.694661;0
2019;1;1;4;0;-59.376000000000005;0;0.0;0;-59.376000000000005;0;-53.68;0;-53.6797;0;-3.5009;0;-3.5009;0;0.6590199999999999;0;0.6590199999999999;0;0.036851999999999996;0;0.036851999999999996;0;0.695875;0
2019;1;1;4;30;-26.785999999999998;0;0.0;0;-26.785999999999998;0;-23.163;0;-23.1628;0;-3.2754;0;-3.2754;0;0.56742;0;0.56742;0;0.10638;0;0.10638;0;0.673795;0
2019;1;1;5;0;-57.188;0;0.0;0;-57.188;0;NaN;1;-63.077532999999995;0;NaN;1;-1.9775;0;NaN;1;0.67099;0;NaN;1;-0.000499;0;0.6704939999999999;0
2019;1;1;5;30;-69.628;0;0.0;0;-69.628;0;-61.336999999999996;0;-61.3371;0;-2.9727;0;-2.9727;0;1.0266;0;1.0266;0;-0.34331999999999996;0;-0.34331999999999996;0;0.683254;0
2019;1;1;6;0;-76.188;0;0.0;0;-76.188;0;-45.56399999999999;0;-45.5638;0;NaN;1;-1.8617;0;0.48008999999999996;0;0.48008999999999996;0;0.19985;0;0.19985;0;0.679942;0
2019;1;1;6;30;-79.707;0;0.0;0;-79.707;0;-38.777;0;-38.7766;0;NaN;1;-1.9775;0;0.29477;0;0.29477;0;0.37398000000000003;0;0.37398000000000003;0;0.668748;0
2019;1;1;7;0;-71.407;0;0.0;0;-71.407;0;-52.402;0;-52.4024;0;-2.458;0;-2.458;0;0.37958000000000003;0;0.37958000000000003;0;0.28781;0;0.28781;0;0.667391;0
2019;1;1;7;30;-51.922;0;0.0;0;-51.922;0;NaN;1;-62.037641;0;NaN;1;-1.8301;0;NaN;1;0.6613100000000001;0;NaN;1;-0.005872;0;0.655439;0
2019;1;1;8;0;-58.653999999999996;0;0.0;0;-58.653999999999996;0;NaN;1;-60.943277;0;NaN;1;-1.6905;0;NaN;1;0.65386;0;NaN;1;-0.006669;0;0.647193;0
2019;1;1;8;30;-62.511;0;0.0;0;-62.511;0;-80.77;0;-80.7704;0;-9.3084;0;-9.3084;0;1.4886;0;1.4886;0;-0.8458200000000001;0;-0.8458200000000001;0;0.642734;0
2019;1;1;9;0;-53.353;0;0.0;0;-53.353;0;-60.70399999999999;0;-60.7044;0;-2.6818;0;-2.6818;0;0.9158200000000001;0;0.9158200000000001;0;-0.28301;0;-0.28301;0;0.632808;0
2019;1;1;9;30;-49.695;0;0.0;0;-49.695;0;-51.291000000000004;0;-51.2915;0;-6.9765;0;-6.9765;0;0.48816000000000004;0;0.48816000000000004;0;0.13366;0;0.13366;0;0.621818;0
2019;1;1;10;0;-60.152;0;0.0;0;-60.152;0;-48.727;0;-48.7268;0;-6.0606;0;-6.0606;0;0.56592;0;0.56592;0;0.041095;0;0.041095;0;0.607019;0
2019;1;1;10;30;-63.008;0;6.791;0;-56.216;0;-41.038999999999994;0;-41.0394;0;-5.9221;0;-5.9221;0;0.57501;0;0.57501;0;0.020390000000000002;0;0.020390000000000002;0;0.5954;0
2019;1;1;11;0;-62.013999999999996;0;9.43;0;-52.583999999999996;0;NaN;1;-60.450669999999995;0;NaN;1;-1.486;0;NaN;1;0.7801100000000001;0;NaN;1;-0.19079000000000002;0;0.589314;0
2019;1;1;11;30;-30.393;0;10.639000000000001;0;-19.754;0;NaN;1;-56.161877000000004;0;NaN;1;-0.9858100000000001;0;NaN;1;0.7520100000000001;0;NaN;1;-0.17269;0;0.579321;0
2019;1;1;12;0;-30.164;0;13.158;0;-17.006;0;NaN;1;-54.735634;0;NaN;1;-0.31661999999999996;0;NaN;1;0.73951;0;NaN;1;-0.17299;0;0.566519;0
