Sampling,precip_open_area_mm,Interc_wav,Interc_av,Interc_wav2,Interc_av2
3.7.2016 11:00,17.43,4.410346461,4.3472,4.412498531,4.352
9.7.2016 11:00,7.54,4.748991563,4.3984,4.760102108,4.4312
9.7.2016 21:00,7.8,3.334682379,3.4356,3.354495827,3.5128
11.7.2016 12:00,1.05,0.287688532,0.3328,0.325682846,0.3888
14.7.2016 12:00,6.01,2.815960761,2.6648,2.830155998,2.7216
15.7.2016 9:00,13.92,1.537087478,1.661304348,2.527887526,2.605652174
16.7.2016 16:00,12.11,3.753469718,3.9904,3.785117573,4.0616
27.7.2016 8:00,17.08,4.841197233,5.296,4.898046492,5.4116
29.7.2016 15:30,2.24,1.873770552,1.6136,1.878504655,1.6392
1.8.2016 12:30,7.88,2.789333932,2.6728,2.808747544,2.76
8.8.2016 10:30,13.05,5.457990064,5.9204,5.490625558,5.9656
10.8.2016 8:30,28.04,3.625135537,3.664,4.037273416,4.2172
11.8.2016 0:00,13.53,2.530155575,3.3648,2.747241171,3.5732
13.8.2016 19:00,13.58,3.390472101,3.4944,3.952545439,3.976
20.8.2016 15:30,2.86,2.219769505,2.0252,2.219904999,2.0256
22.8.2016 14:00,7.1,2.482420839,2.688,2.558692667,2.7988
23.8.2016 14:00,5.29,0.065817493,0.4932,0.576724324,0.9064
26.8.2016 12:00,3.54,2.18508283,2.0568,2.186253909,2.0628
27.8.2016 16:00,11.54,3.121968292,3.5892,3.285527308,3.7192
29.8.2016 15:30,0.59,0.496875565,0.4472,0.49823051,0.4512
2.9.2016 8:00,5.93,3.037027083,3.1628,3.070953311,3.21
5.9.2016 11:00,0.3,0.192090169,0.1792,0.194781247,0.1876
7.9.2016 9:00,1.5,1.180426754,1.0916,1.180426754,1.0916
12.9.2016 11:30,1.88,1.499918013,1.4376,1.499918013,1.4376
23.9.2016 13:00,1.5,1.207187097,1.1112,1.208763953,1.1164
30.9.2016 9:00,23.92,4.21039601,5.0076,4.559555321,5.298
