dbh	pine	spruce	decid
1	0	0	0
2	0	0	0
3	0	0	0
4	15.91549431	31.83098862	7.957747155
5	7.957747155	63.66197724	15.91549431
6	7.957747155	79.57747155	7.957747155
7	23.87324146	47.74648293	7.957747155
8	7.957747155	15.91549431	7.957747155
9	15.91549431	47.74648293	15.91549431
10	31.83098862	23.87324146	0
11	15.91549431	71.61972439	0
12	23.87324146	63.66197724	0
13	15.91549431	55.70423008	0
14	15.91549431	47.74648293	0
15	47.74648293	71.61972439	7.957747155
16	39.78873577	55.70423008	0
17	7.957747155	55.70423008	23.87324146
18	7.957747155	47.74648293	0
19	15.91549431	87.5352187	0
20	15.91549431	23.87324146	0
21	31.83098862	31.83098862	7.957747155
22	31.83098862	7.957747155	0
23	15.91549431	39.78873577	0
24	39.78873577	7.957747155	0
25	0	0	0
26	7.957747155	0	0
27	23.87324146	7.957747155	0
28	23.87324146	0	0
29	7.957747155	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	15.91549431	0	0
36	0	0	0
37	0	0	0
38	7.957747155	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
