dbh	pine15	spruce15	hardwood15
1.5	0	134.2105263	327.6315789
2.5	3.947368421	205.2631579	418.4210526
3.5	1.315789474	173.6842105	223.6842105
4.5	1.315789474	127.6315789	156.5789474
5.5	3.947368421	78.94736842	73.68421053
6.5	7.894736842	57.89473684	47.36842105
7.5	7.894736842	50	38.15789474
8.5	11.84210526	25	28.94736842
9.5	13.15789474	22.36842105	22.36842105
10.5	10.52631579	17.10526316	7.894736842
11.5	15.78947368	14.47368421	11.84210526
12.5	27.63157895	11.84210526	11.84210526
13.5	23.68421053	7.894736842	15.78947368
14.5	40.78947368	7.894736842	2.631578947
15.5	35.52631579	7.894736842	9.210526316
16.5	36.84210526	5.263157895	5.263157895
17.5	47.36842105	9.210526316	3.947368421
18.5	43.42105263	5.263157895	1.315789474
19.5	72.36842105	10.52631579	3.947368421
20.5	40.78947368	7.894736842	3.947368421
21.5	57.89473684	3.947368421	2.631578947
22.5	56.57894737	3.947368421	0
23.5	43.42105263	1.315789474	0
24.5	34.21052632	3.947368421	1.315789474
25.5	22.36842105	3.947368421	0
26.5	19.73684211	2.631578947	0
27.5	18.42105263	1.315789474	0
28.5	9.210526316	0	0
29.5	2.631578947	2.631578947	0
30.5	2.631578947	2.631578947	0
31.5	3.947368421	1.315789474	0
32.5	1.315789474	0	0
33.5	1.315789474	0	0
34.5	0	0	0
35.5	1.315789474	0	0
36.5	0	0	0
37.5	0	0	1.315789474
38.5	0	0	0
39.5	0	0	0
40.5	0	1.315789474	0
41.5	0	0	0
42.5	0	2.631578947	0
