dbh	pine	spruce	decid
1	0	0	0
2	0	0	0
3	0	60	47.5
4	0	150	145
5	0	115	77.5
6	0	100	57.5
7	0	110	30
8	0	77.5	35
9	5	77.5	25
10	2.5	50	25
11	2.5	55	12.5
12	2.5	67.5	12.5
13	0	50	27.5
14	15	27.5	15
15	12.5	10	20
16	30	15	12.5
17	10	12.5	12.5
18	25	12.5	10
19	37.5	5	5
20	35	2.5	15
21	32.5	2.5	7.5
22	45	0	15
23	27.5	0	7.5
24	25	0	10
25	32.5	2.5	2.5
26	20	0	2.5
27	30	0	2.5
28	12.5	0	0
29	12.5	0	0
30	17.5	0	2.5
31	12.5	0	0
32	10	0	0
33	0	0	2.5
34	7.5	0	2.5
35	2.5	0	0
36	0	0	0
37	0	0	0
38	2.5	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
