dbh	pine	spruce	decid
1	0	48.48484848	13.63636364
2	3.03030303	48.48484848	9.090909091
3	0	33.33333333	13.63636364
4	0	69.6969697	31.81818182
5	0	51.51515152	42.42424242
6	0	39.39393939	27.27272727
7	0	37.87878788	24.24242424
8	0	48.48484848	18.18181818
9	0	43.93939394	18.18181818
10	0	40.90909091	24.24242424
11	0	43.93939394	7.575757576
12	0	54.54545455	15.15151515
13	0	50	12.12121212
14	0	33.33333333	1.515151515
15	0	12.12121212	15.15151515
16	0	15.15151515	6.060606061
17	0	15.15151515	12.12121212
18	0	13.63636364	9.090909091
19	0	9.090909091	9.090909091
20	0	3.03030303	15.15151515
21	0	0	6.060606061
22	0	0	15.15151515
23	0	0	0
24	0	0	3.03030303
25	0	0	3.03030303
26	0	3.03030303	3.03030303
27	0	0	3.03030303
28	0	0	0
29	0	0	0
30	0	0	0
31	3.03030303	0	3.03030303
32	0	0	0
33	0	0	3.03030303
34	0	0	3.03030303
35	0	0	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
