dbh	pine08	spruce08	hardwood08
1.5	0	85.52631579	303.9473684
2.5	2.6	178.9473684	310.5263158
3.5	1.3	127.6315789	207.8947368
4.5	7.9	85.52631579	106.5789474
5.5	7.9	64.47368421	43.42105263
6.5	18.4	34.21052632	53.94736842
7.5	7.9	28.94736842	46.05263158
8.5	17.1	21.05263158	22.36842105
9.5	18.4	14.47368421	18.42105263
10.5	15.8	11.84210526	15.78947368
11.5	32.9	9.210526316	15.78947368
12.5	23.7	5.263157895	13.15789474
13.5	51.3	13.15789474	10.52631579
14.5	42.1	6.578947368	11.84210526
15.5	44.7	7.894736842	3.947368421
16.5	52.6	9.210526316	3.947368421
17.5	63.2	7.894736842	6.578947368
18.5	61.8	5.263157895	1.315789474
19.5	56.6	2.631578947	3.947368421
20.5	55.3	3.947368421	1.315789474
21.5	53.9	2.631578947	1.315789474
22.5	34.2	1.315789474	1.315789474
23.5	30.3	2.631578947	0
24.5	18.4	1.315789474	0
25.5	13.2	0	1.315789474
26.5	7.9	3.947368421	0
27.5	7.9	1.315789474	0
28.5	0	1.315789474	0
29.5	3.9	0	0
30.5	1.3	1.315789474	0
31.5	1.3	1.315789474	0
32.5	1.3	0	0
33.5	0	0	0
34.5	0	0	1.315789474
35.5	0	0	0
36.5	0	1.315789474	0
37.5	0	1.315789474	0
38.5	0	0	0
39.5	0	0	0
40.5	0	1.315789474	0
41.5	0	0	0
42.5	0	0	0
