dbh	pine	spruce	decid
1	0	0	0
2	0	0	5
3	0	140	150
4	0	150	130
5	0	115	82.5
6	0	107.5	57.5
7	0	102.5	27.5
8	7.5	77.5	32.5
9	2.5	60	27.5
10	0	72.5	10
11	2.5	60	20
12	2.5	35	20
13	12.5	15	10
14	12.5	12.5	25
15	25	17.5	12.5
16	22.5	5	17.5
17	22.5	5	10
18	40	2.5	10
19	35	0	7.5
20	32.5	0	7.5
21	42.5	2.5	17.5
22	35	0	7.5
23	22.5	0	10
24	35	0	2.5
25	25	0	5
26	25	0	2.5
27	20	0	0
28	7.5	0	0
29	20	0	2.5
30	15	0	0
31	5	0	0
32	5	0	0
33	2.5	0	5
34	0	0	0
35	2.5	0	0
36	2.5	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	0	0
41	0	0	0
42	0	0	0
